account,trades_count,total_closedpnl,mean_closedpnl,win_rate,avg_size_usd,avg_size_tokens,unique_symbols,perf_score,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,2712,1359427.638105,501.2638783573008,0.43547197640117996,16559.604299410028,14.394906120943952,2,26104.251956771666,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1730,5392.784773,3.1172166317919077,0.4687861271676301,2016.92449132948,967.6208537890694,4,129.6552289191213,2
0x271b280974205ca63b716753467d5a371de622ab,1140,30179.745676,26.473461119298243,0.43157894736842106,10937.58197368421,25.63747864912281,4,893.846924111671,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4306,41329.55692,9.598132122619601,0.461216906641895,448.9150023223409,1344.8045497907162,63,629.830570778751,2
0x2c229d22b100a7beb69122eed721cee9b24011dd,896,76323.718082,85.18272107366072,0.53125,2599.986060267857,42942.82457142857,24,2549.796460246135,2
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,375,-53887.645203,-143.700387208,0.23733333333333334,1599.9097333333334,9974.163968344854,23,-2782.7460325007064,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,2315,-57641.464841,-24.89912088164147,0.3248380129589633,4613.289533477322,2595.902289801296,12,-1198.0074293888772,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,139,9503.471102,68.37029569784173,0.6906474820143885,4081.770287769784,3314.2498824079134,8,806.0738982249914,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,155,31838.588422,205.41024788387097,0.22580645161290322,5721.4908387096775,249.1754513548387,6,2557.336962552171,0
0x430f09841d65beb3f27765503d0f850b8bce7713,286,28410.862502,99.33868007692308,0.24125874125874125,4606.371083916084,1944.6959116083917,9,1679.9695178174004,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3548,7321.170945999999,2.063464189966178,0.3229988726042841,531.7426719278467,845.7127716375422,41,122.91043111018612,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2274,404855.229892,178.03660065611257,0.40589270008795075,10022.557867194371,903.6585838962181,5,8489.93809681912,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2938,98019.94253199999,33.36281229816201,0.3512593601089176,17670.592600408443,1.0355791217835262,4,1808.37522217369,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2555,100482.608372,39.327831065362034,0.30528375733855184,28801.29053620352,51.61640450097847,4,1987.9041845775537,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,407,4836.027995,11.882132665847667,0.2800982800982801,977.1885257985258,2442.687306744914,13,239.71300801655156,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,156030.866984,211.71081001899591,0.48846675712347354,8976.695970149254,42.26594301221167,4,5747.470855702431,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,472,201716.01261,427.36443349576274,0.23940677966101695,2108.6040677966103,3069.4110169491523,18,9284.732061621207,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3333,169336.633271,50.806070588358835,0.7971797179717972,3510.8452865286527,92837.18667638164,64,2933.1431849061614,2
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1388,10003.534381,7.207157335014409,0.4711815561959654,3445.740129682997,156.97157786743514,6,268.50893130414295,2
0x8170715b3b381dffb7062c0298972d4727a0a63b,1242,52384.786049,42.177766545088566,0.19887278582930756,2644.4741465378424,1102.966907206119,6,1486.4297078870343,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1137,10601.072083,9.323722148636763,0.3465259454705365,8594.447396657872,331.268346235708,8,314.39060192626937,1
0x8477e447846c758f5a675856001ea72298fd9cb5,5419,8227.806324,1.5183255811035246,0.3118656578704558,777.5154530356155,2184.626573928769,92,111.7698028006427,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,391,15671.865999,40.081498718670076,0.27621483375959077,3619.7629411764706,1831.2173913043478,4,792.5603301693112,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,4277,15271.978095,3.5707220236146835,0.2684124386252046,1375.3962801028758,817.6714239490298,12,233.52085244786497,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,269,24741.581134,91.97613804460967,0.46096654275092935,2246.2924163568773,1257.3840318892192,8,1508.5208257835536,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,334,29677.264671,88.85408584131737,0.46107784431137727,3321.3709281437123,8601.21107365985,5,1623.8676739847153,2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,60,9721.01524,162.01692066666666,0.18333333333333332,15929.664166666666,0.507297,4,1254.9776710916165,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7754,1674353.332039,215.93414135143152,0.3611039463502708,3995.025099303585,9798.110632248645,51,19014.469465981685,2
0xb899e522b5715391ae1d4f137653e7906c5e2115,3982,28861.462188,7.247981463586138,0.4585635359116022,20108.06668257157,107.74864558513309,5,457.37002847871025,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,10072,817764.315646,81.19185024285147,0.5081413820492454,3846.605968030183,275.81313946882443,2,8148.361666609917,2
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1458,95012.274716,65.16616921536351,0.4046639231824417,8960.359972565158,1694.599263203018,16,2488.2897684312134,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,11124,273196.995818,24.559240904171162,0.49316792520676017,1699.5921296296297,103.8154423049263,4,2590.272347570831,2
